"﻿""date""",product,sku,quantity,unit_type,applied_cost_per_quantity,gross_amount,discount_amount,net_amount,organization,repository,cost_center_name,model
2025-08-01,actions,actions_linux,4,minutes,0.008,0.032,0.032,0,Organization-1,Repository-1,,
2025-08-01,actions,actions_linux,4,minutes,0.008,0.032,0.032,0,Organization-2,Repository-2,,
2025-08-01,actions,actions_linux,4,minutes,0.008,0.032,0.032,0,Organization-3,Repository-3,,
2025-08-01,actions,actions_linux,4,minutes,0.008,0.032,0.032,0,Organization-4,Repository-4,,
2025-08-01,actions,actions_linux,2,minutes,0.008,0.016,0.016,0,Organization-4,Repository-5,,
2025-08-01,actions,actions_linux,4,minutes,0.008,0.032,0.032,0,Organization-1,Repository-6,,
2025-08-01,actions,actions_linux,2,minutes,0.008,0.016,0.016,0,Organization-4,Repository-7,,
2025-08-01,actions,actions_storage,0.0005157599999999998,gigabyte-hours,0.00033602,1.6799999999999994E-07,1.6799999999999994E-07,0,Organization-5,Repository-8,,
2025-08-01,actions,actions_storage,0.012821184000000003,gigabyte-hours,0.00033602,4.295999999999999E-06,4.295999999999999E-06,0,Organization-4,Repository-9,,
2025-08-01,actions,actions_storage,0.014453208000000006,gigabyte-hours,0.00033602,4.847999999999999E-06,4.847999999999999E-06,0,Organization-1,Repository-10,,
2025-08-01,actions,actions_storage,0.009152711999999997,gigabyte-hours,0.00033602,3.0719999999999996E-06,3.0719999999999996E-06,0,Organization-4,Repository-11,,
2025-08-01,actions,actions_storage,0.0009456239999999999,gigabyte-hours,0.00033602,3.120000000000001E-07,3.120000000000001E-07,0,Organization-4,Repository-12,,
2025-08-01,actions,actions_storage,0.0007200239999999998,gigabyte-hours,0.00033602,2.400000000000001E-07,2.400000000000001E-07,0,Organization-2,Repository-13,,
2025-08-01,actions,actions_storage,0.0018374159999999993,gigabyte-hours,0.00033602,5.999999999999997E-07,5.999999999999997E-07,0,Organization-4,Repository-14,,
2025-08-01,actions,actions_storage,0.004663128000000001,gigabyte-hours,0.00033602,1.56E-06,1.56E-06,0,Organization-4,Repository-15,,
2025-08-01,actions,actions_storage,0.004722072,gigabyte-hours,0.00033602,1.5840000000000006E-06,1.5840000000000006E-06,0,Organization-3,Repository-3,,
2025-08-01,actions,actions_storage,0.0018267359999999994,gigabyte-hours,0.00033602,5.999999999999997E-07,5.999999999999997E-07,0,Organization-4,Repository-4,,
2025-08-01,actions,actions_storage,0.023710368000000006,gigabyte-hours,0.00033602,7.943999999999999E-06,7.943999999999999E-06,0,Organization-2,Repository-16,,
2025-08-01,actions,actions_storage,0.13402269599999997,gigabyte-hours,0.00033602,4.5024E-05,4.5024E-05,0,Organization-2,Repository-17,,
2025-08-01,actions,actions_storage,3.484799999999999E-05,gigabyte-hours,0.00033602,0,0,0,Organization-2,Repository-18,,
2025-08-01,actions,actions_storage,0.09713486399999996,gigabyte-hours,0.00033602,3.261599999999998E-05,3.261599999999998E-05,0,Organization-2,Repository-19,,
2025-08-01,actions,actions_storage,0.0005080560000000003,gigabyte-hours,0.00033602,1.6799999999999994E-07,1.6799999999999994E-07,0,Organization-6,Repository-8,,
2025-08-01,actions,actions_storage,0.012826055999999992,gigabyte-hours,0.00033602,4.295999999999999E-06,4.295999999999999E-06,0,Organization-4,Repository-20,,
2025-08-01,actions,actions_storage,0.10082745600000007,gigabyte-hours,0.00033602,3.3864E-05,3.3864E-05,0,Organization-2,Repository-21,,
2025-08-01,actions,actions_storage,1.0464000000000002E-05,gigabyte-hours,0.00033602,0,0,0,Organization-2,Repository-22,,
2025-08-01,actions,actions_storage,0.10804965599999997,gigabyte-hours,0.00033602,3.628800000000002E-05,3.628800000000002E-05,0,Organization-2,Repository-23,,
2025-08-01,actions,actions_storage,0.09916908,gigabyte-hours,0.00033602,3.3312000000000016E-05,3.3312000000000016E-05,0,Organization-2,Repository-24,,
2025-08-01,codespaces,codespaces_storage,0.010978357999999997,gigabyte-hours,0.07,0.00076848,0,0.00076848,Organization-4,Repository-20,,
2025-08-01,copilot,copilot_for_business,0.032258064,user-months,19,0.612903216,0,0.612903216,Organization-2,,,
2025-08-01,packages,packages_storage,0.000104424,gigabyte-hours,0.00033602,2.3999999999999997E-08,2.3999999999999997E-08,0,Organization-2,,,
2025-08-01,packages,packages_storage,0.00013668000000000005,gigabyte-hours,0.00033602,2.3999999999999997E-08,2.3999999999999997E-08,0,Organization-5,Repository-25,,
2025-08-02,actions,actions_linux,6,minutes,0.008,0.048,0.048,0,Organization-4,Repository-26,,
2025-08-02,actions,actions_linux,4,minutes,0.008,0.032,0.032,0,Organization-1,Repository-27,,
2025-08-02,actions,actions_linux,3,minutes,0.008,0.024,0.024,0,Organization-2,Repository-24,,
2025-08-02,actions,actions_linux,2,minutes,0.008,0.016,0.016,0,Organization-2,Repository-19,,
2025-08-02,actions,actions_storage,0.004663128000000001,gigabyte-hours,0.00033602,1.56E-06,1.56E-06,0,Organization-4,Repository-15,,
2025-08-02,actions,actions_storage,0.014453208000000006,gigabyte-hours,0.00033602,4.847999999999999E-06,4.847999999999999E-06,0,Organization-1,Repository-10,,
2025-08-02,actions,actions_storage,0.004722072,gigabyte-hours,0.00033602,1.5840000000000006E-06,1.5840000000000006E-06,0,Organization-3,Repository-3,,
2025-08-02,actions,actions_storage,0.0005080560000000003,gigabyte-hours,0.00033602,1.6799999999999994E-07,1.6799999999999994E-07,0,Organization-6,Repository-8,,
2025-08-02,actions,actions_storage,0.0005157599999999998,gigabyte-hours,0.00033602,1.6799999999999994E-07,1.6799999999999994E-07,0,Organization-5,Repository-8,,
2025-08-02,actions,actions_storage,1.0464000000000002E-05,gigabyte-hours,0.00033602,0,0,0,Organization-2,Repository-22,,
2025-08-02,actions,actions_storage,0.09943183600000002,gigabyte-hours,0.00033602,3.3403000000000005E-05,3.3403000000000005E-05,0,Organization-2,Repository-24,,
2025-08-02,actions,actions_storage,3.484799999999999E-05,gigabyte-hours,0.00033602,0,0,0,Organization-2,Repository-18,,
2025-08-02,actions,actions_storage,0.012826055999999992,gigabyte-hours,0.00033602,4.295999999999999E-06,4.295999999999999E-06,0,Organization-4,Repository-20,,
2025-08-02,actions,actions_storage,0.023710368000000006,gigabyte-hours,0.00033602,7.943999999999999E-06,7.943999999999999E-06,0,Organization-2,Repository-16,,
